lastname,firstname,nickname,party,city_fr,city_nl,zipcode,cumuls_2017,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,cumuleo_url
Aerts,Thomas,x,N-VA,Kontich,Kontich,2550,9,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13632-thomas-aerts.php
Aerts,Werner,x,N-VA,Tervuren,Tervuren,3080,5,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13633-werner-aerts.php
Ahallouch,Fatima,x,PS,Mouscron,Moeskroen,7700,7,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/12804-fatima-ahallouch.php
Ahidar,Fouad,x,sp.a,Jette,Jette,1090,8,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9200-fouad-ahidar.php
Ahkim,Hakim,x,x,Houthalen-Helchteren,Houthalen-Helchteren,3530,4,oui,,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16797-hakim-ahkim.php
Ahruil,Saïd,x,PS,Saint-Gilles,Sint-Gillis,1060,4,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9199-said-ahruil.php
Ait Daoud,Nabilla,x,N-VA,Anvers,Antwerpen,2000,7,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13635-nabilla-ait-daoud.php
Akbas,Fatma,x,sp.a,Anvers,Antwerpen,2000,3,oui,oui,oui,,oui,oui,oui,,,,,,,,https://www.cumuleo.be/mandataire/12673-fatma-akbas.php
Akdemir,Duygu,x,sp.a,Beringen,Beringen,3580,1,oui,oui,oui,oui,oui,,,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/10025-duygu-akdemir.php
Akin,Emir,x,cdH,Ganshoren,Ganshoren,1083,5,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13636-emir-akin.php
Akouz,Mustapha,x,PS,Anderlecht,Anderlecht,1070,4,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,https://www.cumuleo.be/mandataire/9198-mustapha-akouz.php
Alaerts,Pascale,x,Open VLD,Lubbeek,Lubbeek,3210,3,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13637-pascale-alaerts.php
Alaimo,Michele,x,PS,Saint-Nicolas,Saint-Nicolas,4420,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9196-michele-alaimo.php
Albert,Isabelle,x,PS,Oreye,Oerle,4360,15,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9193-isabelle-albert.php
