lastname,firstname,nickname,party,city_fr,city_nl,zipcode,cumuls_2017,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,cumuleo_url
De Donder,Walter,x,CD&V,Affligem,Affligem,1790,3,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7454-walter-de-donder.php
de Dorlodot,Isabelle,x,x,Braine-le-Château,Kasteelbrakel,1440,2,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9401-isabelle-de-dorlodot.php
de Fauconval,Guillebert,x,MR,Watermael-Boitsfort,Watermaal-Bosvoorde,1170,8,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13989-guillebert-de-fauconval.php
De Fauw,Dirk,x,CD&V,Bruges,Brugge,8000,19,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7452-dirk-de-fauw.php
de Fierlant Dormer,Edouard,x,x,Libramont-Chevigny,Libramont-Chevigny,6800,10,oui,,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16847-edouard-de-fierlant-dormer.php
De Fierlant,Lorraine,x,MR,Schaerbeek,Schaarbeek,1030,13,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13990-lorraine-de-fierlant.php
De Geest,Luc,x,PS,Comines-Warneton,Komen-Waasten,7780,2,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,https://www.cumuleo.be/mandataire/7448-luc-de-geest.php
De Gelder,Godelieve,x,CD&V,Wetteren,Wetteren,9230,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7447-godelieve-de-gelder.php
de Gottal,Alain,x,cdH,Huy,Hoei,4500,9,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7440-alain-de-gottal.php
De Graeve,Franky,x,CD&V,Tamise,Temse,9140,19,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/11134-franky-de-graeve.php
De Graeve,Hilde,x,CD&V,Zomergem,Zomergem,9930,7,oui,oui,oui,oui,oui,oui,oui,oui,,,,,,,https://www.cumuleo.be/mandataire/12000-hilde-de-graeve.php
De Grande,Gijs,x,N-VA,Beernem,Beernem,8730,9,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14000-gijs-de-grande.php
De Greve,Patrick,x,CD&V,Saint-Laurent,Sint-Laureins,9980,8,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7430-patrick-de-greve.php
De Groef,Jean-Pierre,x,sp.a,Machelen,Machelen,1830,9,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7429-jean-pierre-de-groef.php
De Groote,André,x,CD&V,Destelbergen,Destelbergen,9070,3,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7426-andre-de-groote.php
De Groote,Jean-Marie,x,CD&V,Oosterzele,Oosterzele,9860,6,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/11310-jean-marie-de-groote.php
de Groote,Julie,x,cdH,Ixelles,Elsene,1050,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7424-julie-de-groote.php
De Groote,Patrick,x,N-VA,Oostkamp,Oostkamp,8020,4,oui,oui,,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/10883-patrick-de-groote.php
De Groote,Piet,x,x,Knokke-Heist,Knokke-Heist,8300,17,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7422-piet-de-groote.php
De Gucht,Jean-Jacques,x,Open VLD,Alost,Aalst,9300,11,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7419-jean-jacques-de-gucht.php
De Gussem,Anne Marie,Annemie De Gussem,CD&V,Nazareth,Nazareth,9810,11,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/11288-anne-marie-de-gussem.php
De Haes,Hugo,x,sp.a,Kapelle-op-den-Bos,Kapelle-op-den-Bos,1880,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7416-hugo-de-haes.php
De Haes,Jan,x,N-VA,x,x,x,47,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14006-jan-de-haes.php
De Handschutter,Pascal,x,PS,Lessines,Lessen,7860,11,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/12938-pascal-de-handschutter.php
De Herde,Michel,x,DéFi,Schaerbeek,Schaarbeek,1030,13,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7412-michel-de-herde.php
De Herdt,Davina,x,CD&V,Mortsel,Mortsel,2640,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7411-davina-de-herdt.php
De Herdt,Eduard,x,sp.a,Hemiksem,Hemiksem,2620,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9731-eduard-de-herdt.php
De Hertogh,Jochem,x,sp.a,Machelen,Machelen,1830,5,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14009-jochem-de-hertogh.php
De Jaeger,Marten,x,CD&V,Maldegem,Maldegem,9990,7,oui,oui,oui,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16057-marten-de-jaeger.php
de Jaer,Charlotte,x,Ecolo,Mons,Bergen,7000,7,oui,oui,oui,oui,,,,,,,,,,,https://www.cumuleo.be/mandataire/15678-charlotte-de-jaer.php
De Jonckheere,Anthony,x,N-VA,Zwevegem,Zwevegem,8550,2,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14012-anthony-de-jonckheere.php
De Jonge,Tania,x,Open VLD,Ninove,Ninove,9400,9,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7403-tania-de-jonge.php
de Jonghe d'Ardoye d'Erp,Yves,Yves de Jonghe d'Ardoye,MR,Ixelles,Elsene,1050,6,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7402-yves-de-jonghe-d-ardoye-d-erp.php
De Jonghe,Franky,x,sp.a,Oostkamp,Oostkamp,8020,8,oui,oui,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16496-franky-de-jonghe.php
De Jonghe,Koenraad,Koen De Jonghe,N-VA,Tamise,Temse,9140,7,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14013-koenraad-de-jonghe.php
De Kée,Ilse,x,N-VA,Kortenberg,Kortenberg,3070,2,oui,,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16852-ilse-de-kee.php
De Keersmaeker,Stijn,x,Open VLD,Merchtem,Merchtem,1785,6,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14015-stijn-de-keersmaeker.php
De Kegel,Marleen,x,N-VA,Leeuw-Saint-Pierre,Sint-Pieters-Leeuw,1600,7,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14016-marleen-de-kegel.php
De Kerf,Jurgen,x,N-VA,Beveren,Beveren,9120,5,oui,oui,oui,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16058-jurgen-de-kerf.php
De Ketelaere,Dirk,x,CD&V,Kruibeke,Kruibeke,9150,10,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7400-dirk-de-ketelaere.php
De Ketelaere,Eddy,x,CD&V,Torhout,Torhout,8820,2,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/11047-eddy-de-ketelaere.php
De Keukelaere,Tim,x,Open VLD,Merelbeke,Merelbeke,9820,6,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14017-tim-de-keukelaere.php
De Keukeleire,Bart,x,x,Dentergem,Dentergem,8720,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7398-bart-de-keukeleire.php
De Keyrel,Marc,x,CD&V,Dixmude,Diksmuide,8600,14,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7396-marc-de-keyrel.php
De Keyser,Christiaan,x,Open VLD,Hautem-Saint-Liévin,Sint-Lievens-Houtem,9520,4,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14019-christiaan-de-keyser.php
De Keyser,Damien,x,cdH,Woluwe-Saint-Pierre,Sint-Pieters-Woluwe,1150,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,https://www.cumuleo.be/mandataire/7393-damien-de-keyser.php
De Keyser,Eric,x,sp.a,Dixmude,Diksmuide,8600,9,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7391-eric-de-keyser.php
De Keyser,Heli,x,CD&V,Lovendegem,Lovendegem,9920,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7390-heli-de-keyser.php
De Keyser,Jan,x,CD&V,Oostkamp,Oostkamp,8020,14,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7389-jan-de-keyser.php
De Keyser,Maria,x,CD&V,Hamme,Hamme,9220,11,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14021-maria-de-keyser.php
De Klerck,Patrick,x,Open VLD,Blankenberge,Blankenberge,8370,23,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7381-patrick-de-klerck.php
De Knop,Irina,x,Open VLD,Lennik,Lennik,1750,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7379-irina-de-knop.php
De Knyf,Tim,x,x,Hautem-Saint-Liévin,Sint-Lievens-Houtem,9520,10,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/12939-tim-de-knyf.php
De Kock,Daniël,x,CD&V,Overijse,Overijse,3090,8,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14025-daniel-de-kock.php
De Koninck,Iwein,x,CD&V,Alost,Aalst,9300,4,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/11209-iwein-de-koninck.php
De Koning,Bart,x,x,Moorslede,Moorslede,8890,15,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14026-bart-dekoning.php
de Kort,Dirk,x,CD&V,Brasschaat,Brasschaat,2930,12,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7374-dirk-de-kort.php
de Kort,Niels,x,CD&V,Brasschaat,Brasschaat,2930,6,oui,oui,oui,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16146-niels-de-kort.php
De Laet,Marc,x,sp.a,Willebroek,Willebroek,2830,17,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7369-marc-de-laet.php
De Laever,Gaëtan,x,PS,Seneffe,Seneffe,7180,2,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7368-gaetan-de-laever.php
de Lamotte,Michel,x,cdH,Liège,Luik,4000,17,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7367-michel-de-lamotte.php
De Landtsheer,Filip,x,Open VLD,Laarne,Laarne,9270,2,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7366-filip-de-landtsheer.php
De Landtsheer,Gerry,x,Open VLD,Lokeren,Lokeren,9160,4,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,https://www.cumuleo.be/mandataire/7365-gerry-de-landtsheer.php
De Langhe,Bruno,x,cdH,Rumes,Rumes,7618,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7364-bruno-de-langhe.php
De Leeuw,Simonne,x,sp.a,Denderleeuw,Denderleeuw,9470,4,oui,oui,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16497-simonne-de-leeuw.php
De Leeuw,Suzanne,x,Open VLD,Niel,Niel,2845,6,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14033-suzanne-de-leeuw.php
De Locht,Hans,x,Open VLD,Boortmeerbeek,Boortmeerbeek,3190,3,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14045-hans-de-locht.php
De Lombaert,Etienne,x,Indépendant,Wuustwezel,Wuustwezel,2990,2,oui,oui,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16500-etienne-de-lombaert.php
De Loor,Kurt,x,sp.a,Zottegem,Zottegem,9620,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7345-kurt-de-loor.php
De Loose,Vera,x,x,Wachtebeke,Wachtebeke,9185,5,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14047-vera-de-loose.php
De Luca,Patrick,x,N-VA,Saint-Amand,Sint-Amands,2890,5,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14053-patrick-de-luca.php
De Maere,Ann,x,x,Boom,Boom,2850,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,,https://www.cumuleo.be/mandataire/7341-ann-de-maere.php
De Maertelaere,Joeri,x,N-VA,Evergem,Evergem,9940,3,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,https://www.cumuleo.be/mandataire/7339-joeri-de-maertelaere.php
De Maeseneer,Dirk,x,CD&V,Melle,Melle,9090,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7338-dirk-de-maeseneer.php
De Maeyer,Hendrik,x,N-VA,Brasschaat,Brasschaat,2930,8,oui,oui,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16502-hendrik-de-maeyer.php
de Marcken de Merken,Bernard,x,x,Etterbeek,Etterbeek,1040,8,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7332-bernard-de-marcken-de-merken.php
De Marez,Olivier,x,Open VLD,Oostrozebeke,Oostrozebeke,8780,4,oui,oui,oui,oui,,,,,,,,,,,https://www.cumuleo.be/mandataire/15686-olivier-de-marez.php
De Martin,André,x,PS,Philippeville,Philippeville,5600,3,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/10493-andre-de-martin.php
De Meerleer,Caroline,x,N-VA,Alost,Aalst,9300,7,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14063-caroline-de-meerleer.php
De Meerleer,Dirk,x,sp.a,x,x,x,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/11208-dirk-de-meerleer.php
De Meersman,Annelies,x,Open VLD,Lede,Lede,9340,3,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7331-annelies-de-meersman.php
De Meester,Wout,x,Groen,Sint-Niklaas,Sint-Niklaas,9100,15,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14064-wout-de-meester.php
De Merlier,Vera,x,Open VLD,x,x,x,9,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/11271-vera-de-merlier.php
De Meulemeester,Ingeborg,x,N-VA,Beveren,Beveren,9120,6,oui,oui,oui,oui,oui,oui,oui,oui,,,,,,,https://www.cumuleo.be/mandataire/12004-ingeborg-de-meulemeester.php
De Meulemeester,Marnic,x,Open VLD,Audenarde,Oudenaarde,9700,14,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7324-marnic-de-meulemeester.php
De Meuleneire,Robert,x,x,Horebeke,Horebeke,9667,2,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7321-robert-de-meuleneire.php
De Mey,Dirk,x,Open VLD,Zele,Zele,9240,4,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7319-dirk-de-mey.php
De Mey,Luc,x,CD&V,Hamme,Hamme,9220,9,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,https://www.cumuleo.be/mandataire/7318-luc-de-mey.php
De Mey,Norbert,x,Open VLD,Deinze,Deinze,9800,2,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/11282-norbert-de-mey.php
De Meyer,Jos,x,CD&V,Sint-Niklaas,Sint-Niklaas,9100,3,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/12941-jos-de-meyer.php
De Meyer,Luc,x,N-VA,Aalter,Aalter,9880,5,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14067-luc-de-meyer.php
De Meyer,Patricia,x,sp.a,Zelzate,Zelzate,9060,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,https://www.cumuleo.be/mandataire/11104-patricia-de-meyer.php
De Meyer,Sonja,x,CD&V,x,x,2170,6,oui,oui,oui,oui,oui,,,,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7309-sonja-de-meyer.php
De Meyer,Wieland,x,x,Heuvelland,Heuvelland,8950,7,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14068-wieland-de-meyer.php
De Mol,Micheline,x,CD&V,Asse,Asse,1730,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7306-micheline-de-mol.php
De Monie,Pia,x,CD&V,Kruibeke,Kruibeke,9150,11,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7305-pia-de-monie.php
De Mul,Stéphan,x,PS,Marche-en-Famenne,Marche-en-Famenne,6900,16,oui,oui,oui,oui,oui,oui,oui,,,,,,,,https://www.cumuleo.be/mandataire/12517-stephan-de-mul.php
De Mulder,Robert,x,CD&V,Lede,Lede,9340,1,oui,oui,oui,oui,oui,oui,,,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7301-robert-de-mulder.php
De Munck,Stijn,x,Groen,Beveren,Beveren,9120,5,oui,oui,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16505-stijn-de-munck.php
De Muylder,Yves,x,CD&V,Lennik,Lennik,1750,9,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14075-yves-de-muylder.php
De Muynck,Marc,x,x,Ruiselede,Ruiselede,8755,2,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7297-marc-de-muynck.php
De Naeyer,Peter,x,x,Hautem-Saint-Liévin,Sint-Lievens-Houtem,9520,3,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7296-peter-de-naeyer.php
de Neuville,Jérôme-Emmanuel,x,x,Remicourt,Remicourt,4350,3,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/12942-jerome-emmanuel-de-neuville.php
De Neve,Fons,x,x,Knesselare,Knesselare,9910,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7288-fons-de-neve.php
De Neve,Tony,x,CD&V,Deinze,Deinze,9800,4,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/12943-tony-de-neve.php
De Nijn,Bart,x,N-VA,Malines,Mechelen,2800,8,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7286-bart-de-nijn.php
De Nijs,Werner,x,N-VA,Waasmunster,Waasmunster,9250,7,oui,oui,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16506-werner-de-nijs.php
De Nul,Jan,x,CD&V,Denderleeuw,Denderleeuw,9470,4,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7284-jan-de-nul.php
De Padt,Guido,x,Open VLD,Grammont,Geraardsbergen,9500,10,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7281-guido-de-padt.php
De Paepe,Denise,x,CD&V,Affligem,Affligem,1790,4,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14081-denise-de-paepe.php
De Palmenaer,Jan,x,CD&V,Berlare,Berlare,9290,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,https://www.cumuleo.be/mandataire/7278-jan-de-palmenaer.php
de Patoul,Serge,x,DéFi,Woluwe-Saint-Pierre,Sint-Pieters-Woluwe,1150,11,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7276-serge-de-patoul.php
De Pauw,Brigitte,x,CD&V,Jette,Jette,1090,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7273-brigitte-de-pauw.php
De Pauw,Joris,x,N-VA,Wavre-Sainte-Catherine,Sint-Katelijne-Waver,2860,4,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14083-joris-de-pauw.php
De Pauw,Marc,x,Open VLD,Destelbergen,Destelbergen,9070,21,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7269-marc-de-pauw.php
De Permentier,Corinne,x,MR,Forest,Vorst,1190,4,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7268-corinne-de-permentier.php
De Permentier,Lorette,x,N-VA,Stekene,Stekene,9190,4,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14084-lorette-de-permentier.php
De Poorter,Dirk,x,CD&V,Zomergem,Zomergem,9930,5,oui,,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16865-dirk-de-poorter.php
De Potter,Jenne,x,CD&V,Zottegem,Zottegem,9620,10,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,,https://www.cumuleo.be/mandataire/7257-jenne-de-potter.php
De Preester,Viviane,x,CD&V,Nazareth,Nazareth,9810,13,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14087-viviane-de-preester.php
De Prins,Francine,x,Groen,Vilvorde,Vilvoorde,1800,4,oui,oui,oui,oui,,,,,,,,,,,https://www.cumuleo.be/mandataire/15693-francine-de-prins.php
De Raeve,Bram,x,Open VLD,Zonhoven,Zonhoven,3520,3,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14091-bram-de-raeve.php
De Raeve,Johny,x,Open VLD,Zonhoven,Zonhoven,3520,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7250-johny-de-raeve.php
De Rammelaere,Els,x,N-VA,Tielt,Tielt,8700,9,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7249-els-de-rammelaere.php
De Rechter,Stany,x,Open VLD,Stekene,Stekene,9190,9,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7248-stany-de-rechter.php
De Regge,Martine,x,sp.a,Gand,Gent,9000,21,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7247-martine-de-regge.php
De Reu,Rutger,x,CD&V,Deinze,Deinze,9800,6,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14092-rutger-de-reu.php
De Reusme,Romain,x,PS,Ixelles,Elsene,1050,9,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14093-romain-de-reusme.php
De Ridder,Christine,x,CD&V,Mortsel,Mortsel,2640,4,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7244-christine-de-ridder.php
De Ridder,Inge,x,N-VA,Boom,Boom,2850,9,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14094-inge-de-ridder.php
De Ridder,Karel,x,Groen,Dilbeek,Dilbeek,1700,3,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7241-karel-de-ridder.php
de Ridder,Marjoleine,Marjoleine De Ridder,CD&V,Lokeren,Lokeren,9160,6,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14095-marjoleine-de-ridder.php
De Ridder,Peter,x,sp.a,Boom,Boom,2850,5,oui,,,,oui,oui,oui,oui,oui,oui,oui,,oui,oui,https://www.cumuleo.be/mandataire/9783-peter-de-ridder.php
De Ridder,Stefaan,x,CD&V,Meise,Meise,1860,6,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7235-stefaan-de-ridder.php
De Ro,Jo,x,Open VLD,Vilvorde,Vilvoorde,1800,13,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/7233-jo-de-ro.php
De Roeck,Bert,x,N-VA,Affligem,Affligem,1790,6,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14100-bert-de-roeck.php
De Roeck,Sandra,x,sp.a,Zottegem,Zottegem,9620,15,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14101-sandra-de-roeck.php
De Roeck,Sophie,x,CD&V,Brasschaat,Brasschaat,2930,3,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/7228-sophie-de-roeck.php
