"id","city","zipcode"
191,"Anvers",2000
192,"Anvers",2000
193,"Anvers",2000
194,"Anvers",2000
195,"Anvers",2000
196,"Anvers",2000
197,"Anvers",2000
198,"Anvers",2000
199,"Anvers",2000
200,"Anvers",2000
201,"Anvers",2000
202,"Anvers",2000
203,"Anvers",2000
204,"Anvers",2040
205,"Anvers",2000
206,"Anzegem",8570
207,"Anzegem",8570
208,"Anzegem",8570
209,"Anzegem",8570
210,"Anzegem",8570
211,"Anzegem",8570
212,"Anzegem",8570
213,"Anzegem",8570
214,"Anzegem",8570
215,"Anzegem",8570
216,"Anzegem",8570
217,"Ardooie",8850
218,"Ardooie",8850
219,"Ardooie",8850
220,"Ardooie",8850
221,"Ardooie",8850
222,"Ardooie",8850
223,"Ardooie",8850
224,"Ardooie",8850
225,"Arendonk",2370
226,"Arendonk",2370
227,"Arendonk",2370
228,"Arendonk",2370
229,"Arendonk",2370
230,"Arendonk",2370
231,"Arendonk",2370
232,"Arlon",6700
233,"Arlon",6700
234,"Arlon",6700
235,"Arlon",6700
236,"Arlon",6700
237,"Arlon",6700
238,"Arlon",6700
239,"Arlon",6700
240,"Arlon",6700
241,"Arlon",6700
242,"Arlon",6700
243,"Arlon",6700
244,"Arlon",6700
245,"Arlon",6700
246,"As",3665
247,"As",3665
248,"As",3665
249,"As",3665
250,"As",3665
251,"As",3665
252,"As",3665
253,"As",3665
254,"As",3665
255,"Asse",1730
256,"Asse",1730
257,"Asse",1730
258,"Asse",1730
259,"Asse",1730
260,"Asse",1730
261,"Asse",1730
262,"Asse",1730
263,"Asse",1730
264,"Asse",1730
265,"Assenede",9960
266,"Assenede",9960
267,"Assenede",9960
268,"Assenede",9960
269,"Assenede",9960
270,"Assenede",9960
271,"Assenede",9960
272,"Assenede",9960
273,"Assenede",9960
274,"Assenede",9960
275,"Assenede",9960
276,"Assesse",5330
277,"Assesse",5330
278,"Assesse",5330
279,"Assesse",5330
280,"Assesse",5330
281,"Assesse",5330
282,"Assesse",5330
283,"Assesse",5330
284,"Assesse",5330
285,"Assesse",5330
286,"Ath",7800
287,"Ath",7800
288,"Ath",7800
289,"Ath",7800
290,"Ath",7800
291,"Ath",7800
292,"Ath",7800
293,"Ath",7800
294,"Ath",7800
295,"Ath",7800
296,"Ath",7800
297,"Ath",7800
298,"Ath",7800
299,"Attert",6717
300,"Attert",6717
301,"Attert",6717
302,"Attert",6717
303,"Attert",6717
304,"Attert",6717
305,"Attert",6717
306,"Aubange",6791
307,"Aubange",6791
308,"Aubange",6791
309,"Aubange",6791
310,"Aubange",6791
311,"Aubange",6791
312,"Aubange",6791
313,"Aubange",6791
314,"Aubange",6791
315,"Aubange",6791
316,"Aubel",4880
317,"Aubel",4880
318,"Aubel",4880
319,"Aubel",4880
320,"Aubel",4880
321,"Aubel",4880
322,"Aubel",4880
323,"Aubel",4880
324,"Aubel",4880
325,"Aubel",4880
326,"Aubel",4880
327,"Audenarde",9700
328,"Audenarde",9700
329,"Audenarde",9700
330,"Audenarde",9700
331,"Audenarde",9700
332,"Audenarde",9700
333,"Audenarde",9700
334,"Audenarde",9700
335,"Audenarde",9700
336,"Audenarde",9700
337,"Audenarde",9700
338,"Audenarde",9700
339,"Audenarde",9700
340,"Audenarde",9700
341,"Auderghem",1160
342,"Auderghem",1160
343,"Auderghem",1160
344,"Auderghem",1160
345,"Auderghem",1160
346,"Auderghem",1160
347,"Auderghem",1160
