"id","city","zipcode"
1148,"Comblain-au-Pont",4170
1149,"Comblain-au-Pont",4170
1150,"Comblain-au-Pont",4170
1151,"Comblain-au-Pont",4170
1152,"Comblain-au-Pont",4170
1153,"Comines-Warneton",7780
1154,"Comines-Warneton",7780
1155,"Comines-Warneton",7780
1156,"Comines-Warneton",7780
1157,"Comines-Warneton",7780
1158,"Comines-Warneton",7780
1159,"Comines-Warneton",7780
1160,"Comines-Warneton",7780
1161,"Comines-Warneton",7780
1162,"Comines-Warneton",7780
1163,"Comines-Warneton",7780
1164,"Comines-Warneton",7780
1165,"Comines-Warneton",7780
1166,"Comines-Warneton",7780
1167,"Courcelles",6180
1168,"Courcelles",6180
1169,"Courcelles",6180
1170,"Courcelles",6180
1171,"Courcelles",6180
1172,"Courcelles",6180
1173,"Courcelles",6180
1174,"Courcelles",6180
1175,"Courcelles",6180
1176,"Courcelles",6180
1177,"Courcelles",6180
1178,"Courcelles",6180
1179,"Courcelles",6180
1180,"Court-Saint-Étienne",1490
1181,"Court-Saint-Étienne",1490
1182,"Court-Saint-Étienne",1490
1183,"Court-Saint-Étienne",1490
1184,"Court-Saint-Étienne",1490
1185,"Court-Saint-Étienne",1490
1186,"Court-Saint-Étienne",1490
1187,"Court-Saint-Étienne",1490
1188,"Court-Saint-Étienne",1490
1189,"Court-Saint-Étienne",1490
1190,"Court-Saint-Étienne",1490
1191,"Courtrai",8500
1192,"Courtrai",8500
1193,"Courtrai",8500
1194,"Courtrai",8500
1195,"Courtrai",8500
1196,"Courtrai",8500
1197,"Courtrai",8500
1198,"Courtrai",8500
1199,"Courtrai",8500
1200,"Courtrai",8500
1201,"Courtrai",8500
1202,"Courtrai",8500
1203,"Courtrai",8500
1204,"Courtrai",8500
1205,"Courtrai",8500
1206,"Courtrai",8500
1207,"Courtrai",8500
1208,"Couvin",5660
1209,"Couvin",5660
1210,"Couvin",5660
1211,"Couvin",5660
1212,"Couvin",5660
1213,"Couvin",5660
1214,"Couvin",5660
1215,"Couvin",5660
